time,L_theta_total,L_phi_total,mean_theta_dot,mean_phi_dot,L_theta_ring0,omega_theta_ring0,L_theta_ring1,omega_theta_ring1,L_theta_ring2,omega_theta_ring2,L_theta_ring3,omega_theta_ring3,rel_omega_theta,rel_omega_phi
50.7250,523.162979,62.155515,0.186163,0.621555,275.749239,-0.148434,247.413741,0.510871,0.000000,0.000000,0.000000,0.000000,0.659305,-2.034703
50.7500,-363.763702,72.585512,-0.190173,0.725855,-9.232607,0.311628,-354.531095,-0.677143,0.000000,0.000000,0.000000,0.000000,-0.988772,1.480220
50.7750,-92.553515,-182.551173,-0.380479,-1.825512,-167.585031,-0.805997,95.553476,0.113339,0.000000,0.000000,0.000000,0.000000,0.919336,-1.526392
50.8000,-57.274915,-142.396563,-0.075146,-1.423966,42.187763,0.528561,-77.452200,-0.569737,21.099294,0.177688,0.000000,0.000000,-1.098298,-6.238348
50.8250,278.546935,20.649067,0.562291,0.206491,148.292752,0.928945,136.531976,0.239322,0.000000,0.000000,0.000000,0.000000,-0.689623,2.017404
50.8500,-147.199747,-102.361684,-0.386516,-1.023617,-127.351850,-0.561720,-78.740641,-0.311302,0.000000,0.000000,0.000000,0.000000,0.250418,-0.358001
50.8750,-330.664072,217.476960,-0.630967,2.174770,-497.150236,-1.617761,212.831260,0.357199,0.000000,0.000000,0.000000,0.000000,1.974961,-1.444759
50.9000,125.338435,234.244327,-0.002477,2.342443,45.864704,-0.255898,128.024057,0.309322,0.000000,0.000000,0.000000,0.000000,0.565220,0.874118
50.9250,155.929401,199.660211,-0.074141,1.996602,-30.390918,-0.373458,243.441630,0.443329,0.000000,0.000000,0.000000,0.000000,0.816787,0.960931
50.9500,624.122114,-42.146729,0.763744,-0.421467,603.580137,1.789613,-15.971842,-0.244616,0.000000,0.000000,0.000000,0.000000,-2.034229,-3.345581
50.9750,835.682432,36.003500,0.810966,0.360035,357.446570,0.738154,459.212237,0.825427,0.000000,0.000000,0.000000,0.000000,0.087273,-1.036127
51.0000,500.675465,87.013261,0.496274,0.870133,388.848553,0.902349,111.826911,0.090200,0.000000,0.000000,0.000000,0.000000,-0.812149,0.564898
51.0250,157.617349,19.906258,0.311045,0.199063,171.168959,0.176010,-62.126810,0.382738,0.000000,0.000000,0.000000,0.000000,0.206729,3.677822
51.0500,-259.516301,82.776438,-0.440804,0.827764,-392.641350,-1.596884,63.375263,0.303649,0.000000,0.000000,0.000000,0.000000,1.900534,-3.525890
51.0750,-97.722565,103.801409,-0.405646,1.038014,-142.484331,-2.290406,-331.738098,-6.566020,286.059239,1.697621,0.000000,0.000000,-4.275613,9.916450
51.1000,275.559592,-94.800056,-0.196438,-0.948001,-211.994792,-1.302464,394.404318,0.401589,0.000000,0.000000,0.000000,0.000000,1.704053,5.230882
51.1250,-463.971877,-120.320492,-0.466008,-1.203205,-7.563033,-0.134207,-456.408844,-0.784797,0.000000,0.000000,0.000000,0.000000,-0.650590,1.542033
51.1500,70.428224,184.073315,0.373201,1.840733,220.729321,0.979199,-113.399463,-0.139999,0.000000,0.000000,0.000000,0.000000,-1.119198,-1.416578
51.1750,424.768472,-84.903226,0.202653,-0.849032,63.798220,-0.062951,360.970252,0.457841,0.000000,0.000000,0.000000,0.000000,0.520792,-0.708813
51.2000,-881.496903,-84.955930,-0.250827,-0.849559,231.884653,1.163943,-1113.381556,-1.596585,0.000000,0.000000,0.000000,0.000000,-2.760528,1.022391
51.2250,-572.080623,-32.155191,-0.612822,-0.321552,-385.933889,-0.842022,-186.146734,-0.392610,0.000000,0.000000,0.000000,0.000000,0.449412,3.114950
51.2500,100.005799,134.117803,0.105013,1.341178,-52.261853,-0.231860,75.844688,0.133369,0.000000,0.000000,0.000000,0.000000,0.365229,2.698976
51.2750,-757.199622,-106.934008,-0.475726,-1.069340,70.257585,0.299557,-827.457207,-1.220605,0.000000,0.000000,0.000000,0.000000,-1.520162,3.792286
51.3000,317.909750,-95.388686,0.342909,-0.953887,23.287888,0.039341,235.446450,0.400363,0.000000,0.000000,0.000000,0.000000,0.361023,-1.182534
51.3250,702.116257,-11.854395,0.897729,-0.118544,-35.005740,-0.406074,192.272814,3.237816,-2.209762,-0.019872,0.000000,0.000000,3.643890,11.368786
51.3500,610.561808,36.220101,0.640925,0.362201,522.338739,1.609134,33.914673,-0.348568,0.000000,0.000000,0.000000,0.000000,-1.957702,6.097825
51.3750,-389.286507,173.375628,-0.247449,1.733756,194.522962,0.651081,-493.801221,-0.680910,0.000000,0.000000,0.000000,0.000000,-1.331992,0.022401
51.4000,-1.185641,244.062260,0.142152,2.440623,-119.943052,-0.195923,93.616448,0.443551,0.000000,0.000000,0.000000,0.000000,0.639474,-0.320452
51.4250,149.388435,168.496624,0.274341,1.684966,-54.151339,0.150895,223.962942,0.488847,0.000000,0.000000,0.000000,0.000000,0.337952,4.676211
51.4500,-134.868361,107.165806,-0.105968,1.071658,-11.732956,0.024900,-123.135405,-0.229214,0.000000,0.000000,0.000000,0.000000,-0.254114,-6.149062
51.4750,327.118399,-98.258828,0.336826,-0.982588,349.185369,1.315397,-17.919132,-0.489706,0.000000,0.000000,0.000000,0.000000,-1.805103,-0.595323
51.5000,276.935891,-79.102141,0.594256,-0.791021,240.789402,0.983830,38.511605,0.240041,0.000000,0.000000,0.000000,0.000000,-0.743789,0.979369
51.5250,232.625506,18.152364,-0.220667,0.181524,-17.676459,-0.637507,314.702433,0.274847,0.000000,0.000000,0.000000,0.000000,0.912354,-2.254083
51.5500,-212.219981,-131.365340,0.033552,-1.313653,375.594947,1.015290,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
51.5750,401.704965,60.469459,0.467260,0.604695,286.958369,1.264808,154.601517,-0.215875,0.000000,0.000000,0.000000,0.000000,-1.480683,1.047913
51.6000,-398.420658,96.225951,-0.373566,0.962260,66.149525,1.255166,-465.080443,-3.760613,-186.992960,-1.155832,0.000000,0.000000,-5.015779,-0.496542
51.6250,-163.554652,-254.401268,-0.179661,-2.544013,-5.990593,0.046221,-157.564059,-0.396685,0.000000,0.000000,0.000000,0.000000,-0.442906,1.432502
51.6500,-216.340210,-222.320536,-0.120083,-2.223205,55.293132,-0.066225,-375.607957,-0.593231,0.000000,0.000000,0.000000,0.000000,-0.527006,-2.668224
51.6750,208.147046,29.903161,0.244978,0.299032,203.074301,1.383800,-69.732026,-0.754430,397.679145,1.040124,0.000000,0.000000,-2.138231,12.914769
51.7000,-71.360427,-149.154608,-0.338500,-1.491546,-366.557851,-1.386445,230.036267,0.348818,0.000000,0.000000,0.000000,0.000000,1.735262,-2.945381
51.7250,-265.927245,52.656952,-0.297930,0.526570,95.532503,0.578435,-202.430952,-2.504214,-74.342178,-0.291142,0.000000,0.000000,-3.082649,12.501547
51.7500,263.505900,189.935092,-0.319845,1.899351,-315.553765,-1.567438,590.616180,0.938239,0.000000,0.000000,0.000000,0.000000,2.505678,-0.640324
51.7750,-45.894205,144.253594,0.641030,1.442536,553.641310,2.109109,-599.535515,-0.783658,0.000000,0.000000,0.000000,0.000000,-2.892768,1.233404
51.8000,457.716141,-88.239139,0.510487,-0.882391,60.278951,0.570714,493.875855,0.594261,0.000000,0.000000,0.000000,0.000000,0.023547,2.526587
